pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
0.35252 0.371308 0 0.463058 0.206229 0.176666
353 354 0 38 190 236
0.135003 0.139606 0 0.493602 0.939399 0.93986
0.34682 0.365169 0 0.601086 0.173283 0.101102
657 571 0 71 199 254
0.135007 0.1396 0 0.4936 0.939247 0.939811
0.343113 0.378481 0 0.508998 0.21974 0.212349
314 300 0 31 172 252
0.134991 0.139601 0 0.49361 0.939509 0.939854
0.352396 0.377021 0 0.401626 0.145366 0.127887
445 403 0 50 190 243
0.135002 0.139601 0 0.493604 0.939378 0.939836
0.347958 0.369678 0 0.520916 0.201741 0.163791
640 584 0 72 206 256
0.135002 0.139606 0 0.4936 0.939156 0.939799
0.342942 0.348832 0 0.506174 0.284569 0.175334
644 500 0 50 192 246
0.134998 0.139597 0 0.4936 0.939302 0.939814
0.367603 0.344261 0 0.500354 0.192084 0.158532
418 374 0 46 174 245
